Altium Designer Pick and Place Locations
C:\Users\strat\Desktop\SinglePhaseInverter (12-13-2023 2-28-42 PM)\Project Outputs for SinglePhaseInverter\Pick Place for UNIFI_SinglePhaseInverter.txt

========================================================================================================================
File Design Information:

Date:       20/12/23
Time:       17:20
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                Layer       Footprint                   Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                               
H1         OMNI-UNI-41-75         TopLayer    OMNIUNI4175                 6594.488      11060.236     270      Hardware                                                                                                                                  
C1_2       C0805C473J3GEC7210     TopLayer    C0805                       11020.789     9667.621      0        Capacitor                                                                                                                                 
C2_2       CC0805KRX7R8BB104      TopLayer    CAPC2012X95N                11180.237     9872.345      0        Capacitor                                                                                                                                 
C3_2       CC0805KRX7R8BB104      BottomLayer CAPC2012X95N                10672.363     10136.125     0        Capacitor                                                                                                                                 
C4_2       C2012X7S1E106K125AE    BottomLayer CAPC2012X145N               10672.363     10057.384     0        Capacitor                                                                                                                                 
FB1_2      BLM18KG260TN1D         BottomLayer BLM18EG101TH1D              10554.253     10057.384     0        "Ferrite Bead"                                                                                                                            
R1_2       ERJ6GEYJ102V           TopLayer    RESC2012X70N                10869.214     9781.794      0        Resistor                                                                                                                                  
R2_2       ERJ6GEYJ102V           TopLayer    RESC2012X70N                11020.789     9781.794      0        Resistor                                                                                                                                  
TP1_2      S1751-46               TopLayer    S175146                     11184.174     10029.825     270      "Test Point"                                                                                                                              
IC15_2     LESR_15-NP             TopLayer    LESR15NP                    10735.592     10195.849     90       "Integrated Circuit"                                                                                                                      
LCM1       SCF47C-400-1R8C040JH   TopLayer    FP-SCF47C-400-1R8C040JH-MFG 17519.685     5279.528      0        "CMC 4MH 40A 2LN TH"                                                                                                                      
L4         AGP4233-154ME          TopLayer    AGP4233154ME                9106.299      7486.220      90       Inductor                                                                                                                                  
J27        142-0701-201           BottomLayer 1420701201                  817.323       6307.087      180      Connector                                                                                                                                 
J26        142-0701-201           BottomLayer 1420701201                  393.701       6917.323      180      Connector                                                                                                                                 
C193       CC0805KRX7R8BB104      TopLayer    CAPC2012X95N                728.346       11283.465     180      Capacitor                                                                                                                                 
C192       CC0805KRX7R8BB104      TopLayer    CAPC2012X95N                688.976       11153.543     90       Capacitor                                                                                                                                 
TP66       S1751-46               TopLayer    S175146                     15751.969     8748.031      0        "Test Point"                                                                                                                              
TP64       S1751-46               TopLayer    S175146                     10704.725     8466.535      0        "Test Point"                                                                                                                              
TP63       S1751-46               TopLayer    S175146                     1051.181      10173.228     0        "Test Point"                                                                                                                              
TP62       S1751-46               TopLayer    S175146                     1011.811      9850.394      180      "Test Point"                                                                                                                              
TP61       S1751-46               TopLayer    S175146                     1917.323      9716.535      0        "Test Point"                                                                                                                              
TP60       S1751-46               TopLayer    S175146                     1606.299      9645.669      90       "Test Point"                                                                                                                              
J24        142-0701-201           TopLayer    1420701201                  665.354       10070.866     0        Connector                                                                                                                                 
J18        142-0701-201           TopLayer    1420701201                  1724.409      10098.425     0        Connector                                                                                                                                 
R116_4     RCC08054K70FKEA        BottomLayer RCC0805_e3                  5476.378      12326.772     180      Resistor                                                                                                                                  
R116_3     RCC08054K70FKEA        BottomLayer RCC0805_e3                  5452.756      10562.992     180      Resistor                                                                                                                                  
R116_2     RCC08054K70FKEA        BottomLayer RCC0805_e3                  5503.937      8287.402      180      Resistor                                                                                                                                  
R116_1     RCC08054K70FKEA        BottomLayer RCC0805_e3                  5503.937      6496.063      180      Resistor                                                                                                                                  
C191_4     VJ0805Y104KXBAT        TopLayer    CAPC2012X145N               4787.402      12354.331     180      Capacitor                                                                                                                                 
C191_3     VJ0805Y104KXBAT        TopLayer    CAPC2012X145N               4759.842      10582.677     180      Capacitor                                                                                                                                 
C191_2     VJ0805Y104KXBAT        TopLayer    CAPC2012X145N               4779.528      8460.630      180      Capacitor                                                                                                                                 
C191_1     VJ0805Y104KXBAT        TopLayer    CAPC2012X145N               5078.740      6464.567      180      Capacitor                                                                                                                                 
PS1        TRI_20-1212            TopLayer    TRI201212                   1864.567      3874.803      90       "Power Supply"                                                                                                                            
TP58       S1751-46               TopLayer    S175146                     18803.150     12440.945     0        "Test Point"                                                                                                                              
TP57       S1751-46               TopLayer    S175146                     7842.520      6633.858      0        "Test Point"                                                                                                                              
TP56       S1751-46               TopLayer    S175146                     7893.701      11892.914     0        "Test Point"                                                                                                                              
TP54       S1751-46               TopLayer    S175146                     1938.976      14496.063     0        "Test Point"                                                                                                                              
TP53       S1751-46               TopLayer    S175146                     354.331       12889.764     0        "Test Point"                                                                                                                              
TP50       S1751-46               TopLayer    S175146                     13244.094     8362.205      0        "Test Point"                                                                                                                              
TP47       S1751-46               TopLayer    S175146                     13724.409     9734.252      0        "Test Point"                                                                                                                              
TP44       S1751-46               TopLayer    S175146                     15173.228     5940.945      0        "Test Point"                                                                                                                              
TP27       S1751-46               TopLayer    S175146                     16093.111     3362.205      180      "Test Point"                                                                                                                              
TP26       S1751-46               TopLayer    S175146                     18165.354     3354.331      180      "Test Point"                                                                                                                              
TP24       S1751-46               TopLayer    S175146                     17019.685     10641.732     0        "Test Point"                                                                                                                              
TP23       S1751-46               TopLayer    S175146                     1945.866      14102.362     0        "Test Point"                                                                                                                              
R124       CRCW08050000Z0EAHP     TopLayer    RESC2012X60N                18464.567     12137.795     90       Resistor                                                                                                                                  
R123       CRCW08050000Z0EAHP     TopLayer    RESC2012X60N                16476.378     12082.677     90       Resistor                                                                                                                                  
R120       CRCW08050000Z0EAHP     TopLayer    RESC2012X60N                13901.575     12112.205     90       Resistor                                                                                                                                  
C189       ESMQ351VSN681MA35S     TopLayer    CAPPRD1000W180D3550H3700    12090.551     13858.268     0        "Capacitor Polarised"                                                                                                                     
C188       ESMQ351VSN681MA35S     TopLayer    CAPPRD1000W180D3550H3700    10472.441     13881.890     0        "Capacitor Polarised"                                                                                                                     
